I'm 25 years old.;Eu tenho 25 anos.
Can you help me?;Você pode me ajudar?
Excuse me.;Com licença.
Thank you.;Obrigado(a).
You're welcome.;De nada.
I'm sorry.;Desculpe.
No problem.;Sem problemas.
What time is it?;Que horas são?
I don't understand.;Eu não entendo.
Could you repeat that?;Você pode repetir isso?
Where is the bathroom?;Onde fica o banheiro?
How much does it cost?;Quanto custa isso?
I like it.;Eu gosto disso.
I don't like it.;Eu não gosto disso.
What do you think?;O que você acha?
I'm hungry.;Estou com fome.
I'm thirsty.;Estou com sede.
I'm tired.;Estou cansado(a).
Let's go!;Vamos!
What's wrong?;O que houve?
Calm down!;Calma!
Wait a second.;Espera um segundo.
Hurry up!;Se apresse!
That's amazing!;Isso é incrível!
Are you kidding?;Você está brincando?
It doesn't matter.;Não importa.
I don't know.;Eu não sei.
Can you speak slower?;Você pode falar mais devagar?
What do you do?;O que você faz?
I work as a teacher.;Eu trabalho como professor(a).
Where do you live?;Onde você mora?
I live in São Paulo.;Eu moro em São Paulo.
Do you have pets?;Você tem animais de estimação?
"Yes, I have a dog.";"Sim, eu tenho um cachorro."
I don't have time.;Eu não tenho tempo.
I'm busy right now.;Estou ocupado(a) agora.
Do you like music?;Você gosta de música?
What's your favorite song?;Qual é sua música favorita?
I love traveling.;Eu amo viajar.
Where have you been?;Onde você esteve?
See you tomorrow!;Te vejo amanhã!
